business_id,destaque
0DnQh8SE8BSnvJltGCCiWg,0
h6NYKqweTmcBz3z6UeUJ8w,0
AycqWXrDVlbRfJE-kA5MMw,1
EVC1vn1KQ2uETnTbDWXc5w,0
fdTDe7XIXfhftmgNfR_-3g,0
HFPovXxiMQ451N80-E-vyQ,0
opy1am7eajjAO2-eyojoIw,0
ZqHzlfa34IhEPgWqvWGW8w,0
VmZ6sLWZhdo-EAvz8D5orw,0
esr30Kcmr7Z5PtTnWLAm-Q,0
XiKJK57eWPDhdhAG1pTTqA,1
DPLkYvNHNBEs0teU95Ocfw,0
C5FIW7EHoK7c6Umr_QvSew,0
uyAi44fQc9AOxLR4AQe9Qg,0
HzZWnYs_qINLuXCjXyLPhw,1
ZLPPaAJnEvN8311zwXvw6w,0
OmgnQSK3vy1oqAYXFKjaUA,0
pOe045d08sWNYEMwD7q0Vg,0
bSkY196y6hmpvyvma_5_dA,0
Vp8rnPx-hUnu8rDsmbAn4w,0
v_UM-AW9YYTCbWUNa-w1Gg,0
SSw9-ns-sU1__m2bheIEgw,0
hGcu2YoHxNTHSMG07Kntzg,0
4Yf6bdaOPPz2TkA-LY91Ig,0
8f9Tl2gq78wqjtrToOTo7A,0
enM6QaOnLOg9NiSirfRLQg,1
Ep6j5qZZH8FOZgqWU8kzfw,0
UET2RjxhUaAFIZ3uuUhQag,0
b4XJatyFeCNAemIyF3K4Og,1
03XOAwrGH-a1BgLmrmv9RQ,0
BqywX5vLKwIBRaInuuZGug,0
IikkB8j2E-1QmujRsPh5wQ,0
1k1Jep8-CT3LI1bG2JG6Eg,0
e5iuaVMw9EBCF1A1XDOwzg,0
2vQgAfuW36IrAMJj_XjuvA,0
G6aNyWVp2UjgKRidP_U2jw,0
-eIvRc3aEvufstBumpBTPQ,1
MR0jXmXfvt_PW8nUm5Oeeg,0
6HTqJSuWOBV6CSE5W8X7aw,0
w-MmyToyPE2_V3Yg6jrc4w,1
c4sRmOkb3W3KgCkEffI6tA,0
JsAjP49bCk9KjJmmmjyM4w,0
c6oy-IutfSEBZQbV1h9E-A,0
6Hj4AQ5DDGf7tsVk6LscLQ,0
7d4_aSWLjzu9z778ac4g2g,0
P2epFHigkHzKhggZqb4hOg,0
d6G0w_e3GaA90NSQeovShA,0
TWHHpmnVE3-Y9tL5itxpVg,0
WuRe1cVirO93fDvuW-3u3g,0
HkHTdTvzbn-bmeQv_-2u0Q,0
Rqc_42MJmsoMWNdHi4PFGg,0
lw8PXBergNYjgmBNvaiNxg,1
YSIK0E1E2GZ7jIls_v8aSw,0
VZiCUfK61OnhF_wnz_OKiA,0
2OFWvbHVwvnva7GxP4wHQg,0
PKcWuwMYnla-eUdqVWQTsQ,0
btFVG35DPDaG13U-5k3i0g,0
5jFAsP4xlu8M2ew7qMTNVQ,0
ZjYOIMcLTWFPa4jGC-YFwQ,0
Rz7E5Izfav3CSiWkyiU2GA,0
egLYFnycp8ktxMCvilFdLw,0
qSyAd1fDtA4GWp_q9jZKmA,0
rKG5BgZeJfLMt4LCM8nlNA,0
rF0-JzJLNmQtFl3Bb0RbxA,1
hbp72ML8BHykBztI6mWOIw,0
_YFIP-QgJuENZjKtsIiO3A,0
GHxoLiZCORG_38rYV9OYGw,0
xYcB-0g2nED-DMgHOSgsiQ,0
is6sW1nbJC9JYyKHFKEwnw,0
b6sUcJj_xbeYrKKOsS9Gjw,0
iedwMp5xm6pXuvc_mk_Czg,0
JS1rTnGlYeudL5Jky82Ong,0
VKQhuFBxAMFOvcSG6RuCEA,0
kyJaqGToSG0p9w5GmnLLCQ,0
3A3D0Me1hezAn9EdrTLICA,1
0MVRF3-17-hI0HWCM0WuZw,0
QH8B92lZXtLwQV9Fdrpukg,0
d5t8aHwVXMJ5I_hcwem6qQ,1
3y6n6UKHmfCGwaY-3nk0RA,0
AML1zr5Y4R_PjhqAN34quw,1
nOKGpVpeANUX-jgAJHWfzw,0
FyjpNe3Z5FhPs_YH8V_aeA,0
3n3dKPx7TVR7nKIGpA0wLw,0
J8ehGrOQvdUr_CS73uxfGw,0
YLVAtp5YIkP2lrl_1IXbkw,1
USwPHb8aePMuFtD2uDAnpA,0
Jzyca_4320DP6XiOiIFSMQ,0
0Ovh4Vn9ntMt5Ara-ZP2sA,0
rETL4tn0LMohgdQYpytY5A,0
A1b7_RVq6QqLo0qyZtC85w,1
HczMx_z0HS_PnpdTHc3qzQ,0
d2DWYMXc5tA18pElXQOdvg,0
9rj4DdjcpkDkuKJZd-66dQ,1
mG1W5dAWGRTMuAolUCywGw,0
6XnA2qGD60dPYCs88WlDXg,0
SO967mepbkVeGtJ7pg7c1Q,0
NFqCCoe8bhWZuQTVtzoc8g,0
BopPNhmn66uUDL2dVyDjHg,0
sse9sgcNBnZoBCSSEyzDoQ,0
QOJGwHTZCSYY2BNoUhZrng,0
ovIXtPNJEC_mGgFodHL_Vg,1
iWFog8VaBr5JGNAn6oXExA,0
5mTOBaADm2gfO_jR8PVkTA,0
tuc4w8tDPvfABiGuFhX5lQ,1
Z2GIrARCKaBy7Jr8Y-Sccw,0
xi109DyT11hpD93z4FAHug,1
kIBj9C-9JKEiboPbL4uhtw,1
JPq1EHQH5EosLVRWjhn4Kg,0
7wsE_8oB-XWz5KJurb0O4w,0
JUP4gLGA-2SOYq8a8ATJRA,0
S08a8arF5dOvsMb8491Xng,0
2H7An6VjETD-CYFNyXx1NA,1
7eG05PU4g3FLuknfb-75eg,0
KI0zM8wA3QH0-cHcvuz3PA,0
11Xyj5j3X1OaKMeHKC6ukg,0
YMHgCH552sy4vnjcDnSEbg,0
3yKjwtny5j_xSrvNVvJlng,0
lZsEr56UOesEWpGeZikLIw,0
PUaHywltgG_ZWjATIlC7MQ,0
47BN7tByFRfvv2FVz_BuzQ,0
RA83jaYlKMvK0w3KYvTVKg,0
C6vH0qzmcerMkiJy3VO9qA,0
BLerlLQhDmd4LGHGK6dNUA,0
Lq4kShxJJSF9diqcnZeb2Q,0
EhGPj8iJDIdaHnWg9d5BgA,0
X0rCJQeIOwphjaVGnQOq-Q,0
emXQlQykTqiFRDVhlmm0xg,1
HIZvuAcqHuig61aByOJ5Tw,1
QWbRrFpE-xXAToUbO83Djg,0
hjABTon2vVSrfjL5o9_CGw,0
8IaiIlOqfXpquyBhqY3OUQ,0
_eRcc1OFDbi3fnVBskXP9g,0
JiZQSSRyPjhWGjqcIYnXQg,1
nddvI420y7BKvp6nO8bfMg,0
N8gYomVaiSiss513snlxhg,0
K6XIGkyk7-fuOQtA8i7p6A,0
QuoEIR46OGdC_z1Axwd2gA,0
tEAltGVmOZNrjUz9vPs2ug,0
wc1NuLiUrOKmtAcsG2lHIw,0
Q-cNS-72xw4Kd-_O9cB7cw,0
